"Antom Payment","Antom Payment"
"Accept credit card, Google Pay, and Apple Pay via <a href=""https://www.antom.com"" target=""_blank"">Antom</a> (Ant International).","Accept credit card, Google Pay, and Apple Pay via <a href=""https://www.antom.com"" target=""_blank"">Antom</a> (Ant International)."
"Enabled","Enabled"
"Title","Title"
"Environment","Environment"
"Sandbox uses SANDBOX_ prefixed Client ID. Live uses production credentials.","Sandbox uses SANDBOX_ prefixed Client ID. Live uses production credentials."
"Sandbox","Sandbox"
"Live (Production)","Live (Production)"
"Sandbox Credentials","Sandbox Credentials"
"Client ID","Client ID"
"Sandbox Client ID (starts with SANDBOX_)","Sandbox Client ID (starts with SANDBOX_)"
"Merchant Private Key","Merchant Private Key"
"RSA private key for signing API requests (PEM format).","RSA private key for signing API requests (PEM format)."
"Alipay Public Key","Alipay Public Key"
"Antom/Alipay public key for verifying notification signatures (PEM format).","Antom/Alipay public key for verifying notification signatures (PEM format)."
"Live Credentials","Live Credentials"
"Notification URL","Notification URL"
"Configure this URL in your Antom merchant portal.","Configure this URL in your Antom merchant portal."
"Configure this URL in your Antom merchant portal as the notification endpoint.","Configure this URL in your Antom merchant portal as the notification endpoint."
"Payment Action","Payment Action"
"Authorize and Capture","Authorize and Capture"
"Authorize Only","Authorize Only"
"Debug","Debug"
"Log API requests/responses to var/log/antom.log (sensitive data redacted).","Log API requests/responses to var/log/antom.log (sensitive data redacted)."
"Sort Order","Sort Order"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Credit / Debit Card","Credit / Debit Card"
"Enable Credit Card","Enable Credit Card"
"Google Pay","Google Pay"
"Enable Google Pay","Enable Google Pay"
"Google Pay Merchant ID","Google Pay Merchant ID"
"Your Google Pay Merchant ID from the Google Pay Business Console.","Your Google Pay Merchant ID from the Google Pay Business Console."
"Button Color","Button Color"
"Button Type","Button Type"
"Apple Pay","Apple Pay"
"Enable Apple Pay","Enable Apple Pay"
"Default","Default"
"Black","Black"
"White","White"
"White with Outline","White with Outline"
"Buy","Buy"
"Pay","Pay"
"Plain (No text)","Plain (No text)"
"Order","Order"
"Checkout","Checkout"
"Credit or Debit Card","Credit or Debit Card"
"Missing order_increment_id","Missing order_increment_id"
"Invalid payment_method_type","Invalid payment_method_type"
"Order not found or does not belong to current session","Order not found or does not belong to current session"
"Payment method mismatch","Payment method mismatch"
"Failed to create payment session","Failed to create payment session"
"Payment session creation failed. Please try again.","Payment session creation failed. Please try again."
"Invalid request: expected AlipayRequest instance, got %1","Invalid request: expected AlipayRequest instance, got %1"
"Antom API error: %1","Antom API error: %1"
